,feature_ID,¹à±â,ºÐ·ù,¸íÄª,À§µµ,°æµµ
157,Point_157,20,º¸¾Èµî,¿ª»ï1µ¿ 633-5,37.5028960917,127.03087465899999
158,Point_158,20,º¸¾Èµî,¿ª»ï1µ¿ 624-24,37.5032817173,127.03089291299999
159,Point_159,20,º¸¾Èµî,¿ª»ï1µ¿ 623-21,37.5031772748,127.030607872
160,Point_160,20,º¸¾Èµî,¿ª»ï1µ¿ 624-23,37.5034402729,127.030974406
161,Point_161,20,º¸¾Èµî,¿ª»ï1µ¿ 623-25,37.503346743200005,127.03030032299999
162,Point_162,20,º¸¾Èµî,¿ª»ï1µ¿ 624-39,37.5035953951,127.030399948
163,Point_163,20,º¸¾Èµî,¿ª»ï1µ¿ 613-17,37.5047918283,127.03079401
164,Point_164,20,º¸¾Èµî,¿ª»ï1µ¿ 613-19,37.505040514,127.030762445
165,Point_165,20,º¸¾Èµî,¿ª»ï1µ¿ 624,37.5046656093,127.03109253299999
166,Point_166,20,º¸¾Èµî,¿ª»ï1µ¿ 612-9,37.5046294492,127.031544904
167,Point_167,20,º¸¾Èµî,¿ª»ï1µ¿ 685-1,37.5079094325,127.042069252
168,Point_168,20,º¸¾Èµî,¿ª»ï1µ¿ 685-2,37.5077832709,127.042127994
169,Point_169,20,º¸¾Èµî,¿ª»ï1µ¿ 684-5,37.5083311188,127.04202424799999
170,Point_170,20,º¸¾Èµî,¿ª»ï1µ¿ 684-6,37.5084247782,127.042150975
171,Point_171,20,º¸¾Èµî,¿ª»ï1µ¿ 684-12,37.5084030764,127.042368119
172,Point_172,20,º¸¾Èµî,¿ª»ï1µ¿ 684-14,37.5086625169,127.042503989
173,Point_173,20,º¸¾Èµî,¿ª»ï1µ¿ 684-9,37.5087166746,127.04223257299999
174,Point_174,20,º¸¾Èµî,¿ª»ï1µ¿ 681-41,37.5091781177,127.04187090200001
175,Point_175,20,º¸¾Èµî,¿ª»ï1µ¿ 684-27,37.5088785861,127.042979144
176,Point_176,20,º¸¾Èµî,¿ª»ï1µ¿ 683-39,37.5089432062,127.04366684799999
177,Point_177,20,º¸¾Èµî,¿ª»ï1µ¿ 683-1,37.5090080233,127.04381618200001
178,Point_178,20,º¸¾Èµî,¿ª»ï1µ¿ 682-12,37.5095163268,127.043445498
179,Point_179,20,º¸¾Èµî,¿ª»ï1µ¿ 682-14,37.5093324853,127.043544923
180,Point_180,20,º¸¾Èµî,¿ª»ï1µ¿ 682-4,37.5092317189,127.04314674
181,Point_181,20,º¸¾Èµî,¿ª»ï1µ¿ 682-9,37.5096029046,127.043223865
182,Point_182,20,º¸¾Èµî,¿ª»ï1µ¿ 682,37.5096535648,127.04266289700001
183,Point_183,20,º¸¾Èµî,¿ª»ï1µ¿ 686-3,37.5073584197,127.04092436399999
184,Point_184,20,º¸¾Èµî,¿ª»ï1µ¿748-7,37.495690121799996,127.03624087799999
185,Point_185,20,º¸¾Èµî,¿ª»ï1µ¿749-15,37.495683041999996,127.035820206
186,Point_186,20,º¸¾Èµî,¿ª»ï1µ¿749-6,37.496007493200004,127.03552634299999
187,Point_187,20,º¸¾Èµî,¿ª»ï1µ¿749-21,37.4962236597,127.03577523
188,Point_188,20,º¸¾Èµî,¿ª»ï1µ¿748-10,37.4954306928,127.03604172700001
189,Point_189,20,º¸¾Èµî,¿ª»ï1µ¿748-14,37.4950991444,127.035969195
190,Point_190,20,º¸¾Èµî,¿ª»ï1µ¿ 624-41,37.5045791331,127.031015591
191,Point_191,20,º¸¾Èµî,¿ª»ï1µ¿ 624-9,37.5043087946,127.031155719
192,Point_192,20,º¸¾Èµî,¿ª»ï1µ¿ 690-27,37.5072283228,127.041928626
