,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG
444,11680,90,4,4166203,논현로87길,37.49909799486138,127.03368160247786
445,11680,90,5,4166203,논현로87길,37.49891705453715,127.03308676605654
446,11680,91,0,4166201,논현로85길,37.499361668059024,127.03762479094614
447,11680,91,1,4166201,논현로85길,37.499161402811474,127.03691099971773
448,11680,91,2,4166201,논현로85길,37.499085637318586,127.03664096797992
449,11680,91,3,4166201,논현로85길,37.4992888916781,127.03619012626457
450,11680,91,4,4166201,논현로85길,37.49903982678446,127.03598066398587
451,11680,91,5,4166201,논현로85길,37.498465588875234,127.03549773608428
452,11680,91,6,4166201,논현로85길,37.49823996441624,127.0347562869666
453,11680,91,7,4166201,논현로85길,37.498063152239766,127.03417524171454
454,11680,91,8,4166201,논현로85길,37.497880809992175,127.03357604661274
455,11680,91,9,4166201,논현로85길,37.49762911219212,127.03274897011046
456,11680,91,10,4166201,논현로85길,37.49735167975781,127.031837369215
457,11680,92,0,4166198,논현로79길,37.49785710959833,127.03832023198392
458,11680,92,1,4166198,논현로79길,37.4976926978856,127.03778742944573
459,11680,92,2,4166198,논현로79길,37.49755653435972,127.03679071143003
460,11680,92,3,4166198,논현로79길,37.49748757735146,127.03628596972939
461,11680,92,4,4166198,논현로79길,37.497446867426106,127.03598800620165
462,11680,92,5,4166198,논현로79길,37.49739097097749,127.0355788737525
463,11680,92,6,4166198,논현로79길,37.497374103758666,127.0354554340976
464,11680,92,7,4166198,논현로79길,37.497338417851125,127.03519422624775
465,11680,92,8,4166198,논현로79길,37.49715378034102,127.03511602462684
466,11680,92,9,4166198,논현로79길,37.49703699787667,127.03506655449814
467,11680,92,10,4166198,논현로79길,37.49679578430865,127.03496438840155
468,11680,92,11,4166198,논현로79길,37.496374905813134,127.03478611722329
469,11680,92,12,4166198,논현로79길,37.496243220842835,127.03434924165896
470,11680,92,13,4166198,논현로79길,37.496035801802016,127.03366113295493
471,11680,92,14,4166198,논현로79길,37.495994780213714,127.03352503169897
472,11680,92,15,4166198,논현로79길,37.49571976855743,127.03261270246385
473,11680,93,0,4166195,논현로75길,37.49671178816369,127.03886053816535
474,11680,93,1,4166195,논현로75길,37.49655554968771,127.03833168189958
475,11680,93,2,4166195,논현로75길,37.49638993917257,127.03777111475742
476,11680,93,3,4166195,논현로75길,37.49621474915458,127.03717811332919
477,11680,93,4,4166195,논현로75길,37.49643954259171,127.03632169314263
478,11680,93,5,4166195,논현로75길,37.49662013264678,127.03563261154534
479,11680,93,6,4166195,논현로75길,37.49679578430865,127.03496438840155
480,11680,94,0,4166192,논현로71길,37.49517733868677,127.03957439222869
481,11680,94,1,4166192,논현로71길,37.49502467262764,127.03906978038715
