,명칭,주소,위도,경도,분류
115,CU 역삼경복점,서울특별시 강남구 봉은사로44길 5,37.5086697,127.0404171,편의점
116,세븐일레븐 역삼17호점,서울특별시 강남구 논현로76길 10,37.4968362,127.0397531,편의점
117,CU 역삼에클라트점,서울특별시 강남구 테헤란로20길 19 엘지에클라트,37.4985127,127.035022,편의점
118,GS25 역삼햇살점,서울특별시 강남구 논현로 412,37.4969325,127.0390802,편의점
119,CU 역삼사랑점,서울특별시 강남구 언주로104길 6,37.5069682,127.04082,편의점
120,세븐일레븐 역삼해피점,서울특별시 강남구 언주로107길 29,37.5071893,127.0368834,편의점
121,CU 역삼테헤란점,서울특별시 강남구 테헤란로33길 3-12,37.5018682,127.0384944,편의점
122,GS25 역삼태양점,서울특별시 강남구 강남대로94길 95,37.5010771,127.0349533,편의점
123,GS25 역삼코디점,서울특별시 강남구 논현로95길 29-13 1층 ,37.5010428,127.0341745,편의점
124,이마트24 푸르덴셜타워점,서울특별시 강남구 강남대로 298 ,37.4899692,127.032129,편의점
125,GS25 역삼목화점,서울특별시 강남구 선릉로107길 17,37.5088941,127.0427601,편의점
126,GS25 역삼2점,서울특별시 강남구 역삼로14길 7,37.4940425,127.0355007,편의점
127,세븐일레븐 역삼타운점,서울특별시 강남구 강남대로84길 28,37.4969468,127.0309047,편의점
128,GS25 역삼소망점,서울특별시 강남구 봉은사로26길 26,37.50540400000001,127.033641,편의점
129,GS25 강남아트점,서울특별시 강남구 강남대로102길 40,37.50337529999999,127.0284261,편의점
130,GS25 강남사랑점,서울특별시 강남구 역삼로15길 20 ,37.4961175,127.0354853,편의점
131,CU 강남푸르지오점,서울특별시 강남구 테헤란로4길 6,37.497689,127.029031,편의점
132,CU 역삼벚꽃길점,서울특별시 강남구 도곡로7길 8 천남빌딩병원,37.491271,127.035067,편의점
133,미니스톱 역삼만남점,서울특별시 강남구 테헤란로6길 47,37.4955369,127.0318129,편의점
134,세븐일레븐 역삼은석점,서울특별시 강남구 언주로79길 33,37.4986435,127.0414976,편의점
135,세븐일레븐 역삼달샘점,서울특별시 강남구 테헤란로19길 29,37.5018542,127.0328001,편의점
136,WithGN 강남역지하쇼핑센터점,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
137,이마트24 역삼초교점,서울특별시 강남구 역삼로8길 21,37.4927366,127.0342442,편의점
138,세븐일레븐 한신점,서울특별시 강남구 테헤란로 322 한신인터밸리24빌딩,37.5033867,127.0465507,편의점
139,CU 역삼미래점,서울특별시 강남구 테헤란로33길 32 SO근생주택빌딩,37.5038298,127.0388221,편의점
140,GS25 역삼효성점,서울특별시 강남구 강남대로84길 23 한라클래식오피스텔,37.4971279,127.030383,편의점
141,GS25 역삼영동점,서울특별시 강남구 봉은사로30길 11 역삼동658빌딩,37.5067811,127.0354443,편의점
142,세븐일레븐 역삼명랑점,서울특별시 강남구 논현로 425 마이다스빌딩,37.5134667,127.030637,편의점
143,세븐일레븐 역삼특허점,서울특별시 강남구 테헤란로8길 46,37.4958355,127.0322874,편의점
144,GS25 선릉넥슨점,서울특별시 강남구 선릉로 529 함양재빌딩,37.5066208,127.0472194,편의점
145,GS25 역삼제스트점,서울특별시 강남구 테헤란로53길 48 102호,37.5068316,127.0447624,편의점
146,이마트24 역삼Delivery점,서울특별시 강남구 논현로72길 31 1층,37.4964659,127.0417505,편의점
147,스토리웨이,서울특별시 강남구 테헤란로 340 선릉역,37.504479,127.048941,편의점
148,GS25 역삼혜성점,서울특별시 강남구 테헤란로34길 17 혜성빌딩,37.500463,127.040617,편의점
149,세븐일레븐 선릉스타점,서울특별시 강남구 봉은사로50길 19 현빌딩,37.5088717,127.0434356,편의점
150,미니스톱역삼충현점,서울특별시 강남구 봉은사로30길 28,37.5056511,127.0354373,편의점
151,세븐일레븐 강남선릉점,서울특별시 강남구 언주로98길 37,37.5046848,127.0448056,편의점
152,CU 선정릉싱싱점,서울특별시 강남구 선릉로 567,37.5090479,127.0440555,편의점
153,GS25 역삼아람점,서울특별시 강남구 논현로64길 14,37.49357699999999,127.0414007,편의점
154,CU 역삼센타점,서울특별시 강남구 역삼로9길 28,37.4958914,127.0338416,편의점
155,이마트24 역삼신한점,서울특별시 강남구 역삼로 176,37.4953227,127.038463,편의점
156,CU 역삼푸른점,서울특별시 강남구 도곡로1길 7,37.490414,127.0323053,편의점
157,세븐일레븐 역삼하이츠점,서울특별시 강남구 테헤란로25길 6-9 석암빌딩,37.501247,127.035886,편의점
158,CU 역삼에스아이빌딩점,서울특별시 강남구 테헤란로 203 서울인터내셔널타워,37.5015994,127.0377433,편의점
159,세븐일레븐 역삼우일점,서울특별시 강남구 봉은사로44길 39,37.5068371,127.0413273,편의점
160,GS25 역삼참마을점,서울특별시 강남구 논현로79길 7,37.4975261,127.0376125,편의점
161,GS25 역삼쌍마점,서울특별시 강남구 논현로85길 57 1층,37.4976892,127.0334227,편의점
162,GS25 강남태강점,서울특별시 강남구 테헤란로10길 14,37.4981623,127.032323,편의점
163,GS25 역삼덕원점,서울특별시 강남구 테헤란로13길 16,37.5006969,127.0323219,편의점
164,세븐일레븐 역삼선릉로점,서울특별시 강남구 봉은사로48길 13,37.5086439,127.0416797,편의점
165,이마트24 역삼중앙점,서울특별시 강남구 논현로85길 70,37.4976447,127.0324914,편의점
166,GS25 역삼블루점,서울특별시 강남구 도곡로21길 18 삼정빌딩,37.4932542,127.0388231,편의점
167,세븐일레븐 역삼세브란스점,서울특별시 강남구 논현로64길 33,37.4940215,127.0432191,편의점
168,CU 역삼유토빌점,서울특별시 강남구 논현로87길 41 신일유토빌,37.498788,127.0334124,편의점
169,CU 역삼삼부자점,서울특별시 강남구 테헤란로51길 43,37.5056753,127.0441765,편의점
170,미니스톱강남메트로점,서울특별시 강남구 테헤란로 101,37.4986253,127.0280285,편의점
171,이마트24 역삼리테일점,서울특별시 강남구 언주로103길 10,37.5062083,127.0379507,편의점
172,GS25 역삼행복점,서울특별시 강남구 언주로67길 34 1층 2호,37.4955112,127.0439151,편의점
173,GS25 역삼대홍점,서울특별시 강남구 논현로63길 19,37.4924317,127.0392871,편의점
174,GS25 강남쌍용점,서울특별시 강남구 테헤란로4길 46 쌍용플래티넘밸류,37.4954056,127.0304109,편의점
175,미니스톱 역삼태광점,서울특별시 강남구 테헤란로34길 7,37.5010846,127.0403049,편의점
176,CU 역삼우리점,서울특별시 강남구 역삼로19길 14 노블스위트,37.4959576,127.0373104,편의점
177,세븐일레븐 역삼테헤란점,서울특별시 강남구 논현로94길 23,37.5028301,127.0382197,편의점
178,CU 역삼형지점,서울특별시 강남구 논현로 327 명호빌딩,37.4944336,127.0396044,편의점
179,GS25 역삼미소점,서울특별시 강남구 논현로105길 31 1층 ,37.505629,127.0317414,편의점
180,GS25 역삼대로점,서울특별시 강남구 역삼로 213,37.4965541,127.0404149,편의점
181,GS25 역삼테헤란점,서울특별시 강남구 테헤란로33길 7 1층 A호,37.502262,127.0392663,편의점
182,이마트24 역삼테헤란점,서울특별시 강남구 테헤란로14길 36,37.4969778,127.0337971,편의점
183,이마트24 역삼푸르지오점,서울특별시 강남구 논현로85길 52,37.498056,127.0338646,편의점
184,GS25 강남상록회관점,서울특별시 강남구 언주로98길 25 ,37.5048633,127.0439301,편의점
185,CU 역삼포스틸점,서울특별시 강남구 테헤란로20길 10,37.4990484,127.0341289,편의점
186,GS25 강남역신분당선A,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
187,세븐일레븐 역삼래미안점,서울특별시 강남구 언주로 314,37.4958588,127.0464594,편의점
188,CU 역삼천사점,서울특별시 강남구 테헤란로53길 28,37.5060185,127.0460553,편의점
189,세븐일레븐 역삼15호점,서울특별시 강남구 강남대로62길 18,37.4903984,127.0330439,편의점
190,이마트24 역삼은성점,서울특별시 강남구 논현로68길 12 1층,37.4945895,127.040932,편의점
191,GS25 역삼명진점,서울특별시 강남구 역삼로18길 22,37.4933833,127.0365382,편의점
192,세븐일레븐 역삼코넬점,서울특별시 강남구 언주로93길 28-8 코넬빌딩,37.5038775,127.0395962,편의점
