,명칭,주소,위도,경도,분류
226,29CM STORE,서울특별시 서초구 강남대로 405 통영빌딩 1층,37.4987997,127.0266941,편의점
227,TJ 움직이는 편의점,서울특별시 강남구 논현로121길 27 1층 편의점,37.5061541,127.0244667,편의점
228,이마트24 R스타필드코엑스몰6호점,서울특별시 강남구 봉은사로 524 코엑스몰 B1 H 115,37.5126188,127.0574169,편의점
229,TJ움직이는편의점,서울특별시 강남구 봉은사로5길 10,37.5057503,127.0262215,편의점
230,GS25 강남센타점,서울특별시 서초구 강남대로 465 교보생명보험,37.4993385,127.0337927,편의점
231,GS25 강남동원점,서울특별시 강남구 테헤란로77길 7 동원빌딩,37.4990162,127.029877,편의점
232,GS25 강남프리미엄점,서울특별시 서초구 서초대로77길 13 강남빌딩,37.4988341,127.0261778,편의점
233,CU 타워팰리스점,서울특별시 강남구 언주로30길 56 타워팰리스,37.4884505,127.0544709,편의점
234,GS25 논현영동점,서울특별시 강남구 학동로2길 19 세일빌딩,37.509938,127.023062,편의점
235,CU 서초다우점,서울특별시 서초구 서초대로77길 58 트라이앤드빌딩,37.502481,127.0244418,편의점
236,GS25 오크우드점,서울특별시 강남구 테헤란로87길 46 지하1층 삼성동,37.5101935,127.0585824,편의점
237,세븐일레븐 양재역점,서울특별시 서초구 양재동 23-3,37.4828114,127.0342362,편의점
238,GS25 대치골드점,서울특별시 강남구 선릉로86길 48 동창빌딩,37.4845869,127.0420334,편의점
239,CU M양재역점,서울특별시 서초구 남부순환로 2585 양재역,37.48357,127.035421,편의점
240,CU 대치본점,서울특별시 강남구 도곡로 443,37.4985196,127.0588217,편의점
241,이마트24 서울남부터미널점,서울특별시 서초구 효령로 292 서울남부터미널,37.4842039,127.0153987,편의점
242,GS25 코엑스신협점,서울특별시 강남구 봉은사로 524 지하3층,37.5126188,127.0574169,편의점
243,CU 서초대로점,서울특별시 서초구 서초대로 310 소망빌딩,37.4939332,127.0154957,편의점
244,CU 924사평역점,서울특별시 서초구 사평대로 지하 285,37.5042324,127.0152074,편의점
245,GS25 도곡매봉점,서울특별시 강남구 논현로30길 51,37.48515099999999,127.0457169,편의점
246,CU 남부터미널역점,서울특별시 서초구 효령로 279,37.4849058,127.0147439,편의점
247,세븐일레븐 영동점,서울특별시 서초구 강남대로 521-4 태영빌딩,37.5084594,127.0221335,편의점
248,GS25 논현동우점,서울특별시 강남구 봉은사로37길 13,37.5091672,127.0364508,편의점
249,CU 논현두산위브점,서울특별시 강남구 언주로122길 28,37.5119048,127.0380263,편의점
250,움직이는편의점,서울특별시 강남구 봉은사로57길 59,37.51454520000001,127.0437252,편의점
251,GS25 도곡양재점,서울특별시 강남구 남부순환로351길 14 1층,37.48568119999999,127.0345555,편의점
252,CU 서초아이파크점,서울특별시 서초구 서초대로77길 62 아이파크에비뉴 G110호,37.5006226,127.0253673,편의점
253,CU 서초캐슬점,서울특별시 서초구 서초대로73길 50 대원빌딩,37.5016033,127.0240807,편의점
254,GS25 잠원중앙점,서울특별시 서초구 강남대로97길 51 104호,37.513937,127.0169403,편의점
255,미니스톱 강남신사점,서울특별시 강남구 도산대로1길 20 1층,37.51798,127.0199777,편의점
256,GS25 신사대로점,서울특별시 서초구 강남대로 617 대양빌딩,37.5166805,127.0189392,편의점
257,GS25 학동공원점,서울특별시 강남구 강남대로146길 27,37.5152442,127.0223505,편의점
258,GS25 신사현대점,서울특별시 강남구 강남대로152길 5,37.5171429,127.0199774,편의점
259,세븐일레븐 잠원중앙점,서울특별시 서초구 강남대로97길 16 서원빌딩,37.5147919,127.0188281,편의점
260,이마트24 R강남대로점,서울특별시 강남구 강남대로 528,37.5092316,127.0225715,편의점
261,GS25 봉은사점,서울특별시 강남구 봉은사로 535 1층 104호,37.5141625,127.0586751,편의점
262,세븐일레븐 신사4호점,서울특별시 강남구 도산대로15길 7,37.5187027,127.0237964,편의점
263,CU 강남세브란스점,서울특별시 강남구 언주로 211 강남세브란스병원,37.4927454,127.0463152,편의점
264,세븐일레븐 공항타워점,서울특별시 강남구 봉은사로 524 B2F,37.5101935,127.0585824,편의점
265,CU 학동역점,서울특별시 강남구 학동로 224 삼환 아르누보 3,37.51445880000001,127.0332712,편의점
266,CU 논현세관사거리점,서울특별시 강남구 언주로130길 10,37.5147606,127.0362997,편의점
267,GS25 신사제일점,서울특별시 강남구 강남대로152길 40 석천빌딩,37.5179479,127.0225234,편의점
