,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,총밝기
1664,11680,1087,0,4166002,강남대로100길,37.501713291877756,127.02718586743894,1640
1665,11680,1087,1,4166002,강남대로100길,37.50254032311408,127.02790028466715,1010
1666,11680,1088,0,4166663,역삼로7길,37.49445944453185,127.03321146054388,0
1667,11680,1088,1,4166663,역삼로7길,37.49420240945759,127.03238687463886,1360
1668,11680,1089,0,4166198,논현로79길,37.497487577351464,127.0362859697294,1010
1669,11680,1089,1,4166198,논현로79길,37.4970489366786,127.0360958074494,840
1670,11680,1089,2,4166198,논현로79길,37.4971158096975,127.03584569569858,560
1671,11680,1114,0,4166441,선릉로107길,37.50894577664425,127.0422692432012,560
1672,11680,1114,1,4166441,선릉로107길,37.50836069342992,127.04253691869845,800
1673,11680,1115,0,4166728,테헤란로27길,37.501995296735906,127.038032883911,490
1674,11680,1115,1,4166728,테헤란로27길,37.502224517627006,127.0387325942938,490
1675,11680,1115,2,4166728,테헤란로27길,37.50244788360421,127.03941444870476,980
1676,11680,1116,0,4166734,테헤란로33길,37.502323759541866,127.03947845270399,1260
1677,11680,1116,1,4166734,테헤란로33길,37.5027501439234,127.04086765228963,0
1678,11680,1117,0,4166744,테헤란로51길,37.50586395060729,127.04395772029646,210
1679,11680,1117,1,4166744,테헤란로51길,37.50702428862622,127.04429045929268,0
1680,11680,1118,0,4166646,역삼로37길,37.4987856766333,127.04290208546966,210
1681,11680,1118,1,4166646,역삼로37길,37.49851439833441,127.04198173994943,240
1682,11680,1118,2,4166646,역삼로37길,37.498349381589094,127.0414219081012,0
1683,11680,1172,0,4166721,테헤란로19길,37.502036025534814,127.03291036675894,1290
1684,11680,1172,1,4166721,테헤란로19길,37.50185199285715,127.03234294361341,560
1685,11680,1172,2,4166721,테헤란로19길,37.50178535454489,127.03213686369959,280
1686,11680,1172,3,4166721,테헤란로19길,37.5017853455466,127.03213681845936,280
1687,11680,1172,4,4166721,테헤란로19길,37.50166495994336,127.03176450695786,0
