,밝기,분류,명칭,위도,경도
265,210,편의점,CU 학동역점,37.51445880000001,127.0332712
266,210,편의점,CU 논현세관사거리점,37.5147606,127.0362997
267,210,편의점,GS25 신사제일점,37.517947899999996,127.02252340000001
268,210,편의점,CU 도곡아크로타워점,37.4881456,127.0509571
269,210,편의점,GS25 서초영동점,37.488402799999996,127.030323
270,210,편의점,CU 삼성아이파크점,37.515997600000006,127.0503038
271,210,편의점,플젠24시마트강남점,37.506429,127.0528364
272,210,편의점,세븐일레븐 대치6호점,37.498957700000005,127.0588365
273,210,편의점,CU 대치동부점,37.5055912,127.055221
274,210,편의점,세븐일레븐 서초바로세움점,37.5020304,127.02456310000001
275,210,편의점,GS25 도곡아카데미점,37.4889623,127.0519645
276,210,편의점,GS25 논현이편한점,37.5066542,127.0288551
277,210,편의점,CU 대치롯데점,37.49771430000001,127.05309129999999
278,210,편의점,세븐일레븐 논현본점,37.5192657,127.02924840000001
279,210,편의점,대치마트,37.5026182,127.05674920000001
280,210,편의점,GS25 S논현역점,37.511206,127.021728
281,210,편의점,이마트24 연세장례식장강남점,37.492736,127.04626609999998
282,210,편의점,CU 도곡벚꽃길점,37.482213,127.04357659999998
283,210,편의점,GS25 서울라마다점,37.5103037,127.04524750000002
284,210,편의점,세븐일레븐 L7강남점,37.5056545,127.05153870000001
285,210,편의점,CU 서초도씨에빛점,37.4947969,127.0286337
286,210,편의점,GS25 서초서일점,37.484229,127.02210009999999
287,210,편의점,세븐일레븐 논현2호점,37.517236499999996,127.03572369999999
288,210,편의점,세븐일레븐 논현4호점,37.51634979999999,127.0298925
289,210,편의점,GS25 도곡점,37.487750899999995,127.04754170000001
290,210,편의점,GS25 도곡역점,37.49087479999999,127.05730849999999
291,210,편의점,GS25 서초낙원점,37.4851511,127.01856140000001
292,210,편의점,CU 서초현대렉시온점,37.490273200000004,127.0305997
293,210,편의점,GS25 서초삼성타운점,37.496794200000004,127.02571680000001
294,210,편의점,CU 강남해커스점,37.4988517,127.0255375
295,210,편의점,세븐일레븐 강남역TGI점,37.497655200000004,127.0252446
296,210,편의점,TJ편의점,37.5101676,127.0303186
297,210,편의점,CU 신논현역점,37.5061581,127.02409890000001
298,210,편의점,세븐일레븐 논현11호점,37.5179327,127.04056429999999
299,210,편의점,세븐일레븐 삼성페이토점,37.5084084,127.0586761
300,210,편의점,GS25 도곡롯데점,37.4905316,127.03720929999999
301,210,편의점,이마트24 엔씨타워점,37.5077414,127.05819129999999
302,210,편의점,CU 서초써밋점,37.5012459,127.02097350000001
303,210,편의점,미니스톱 양재대로점,37.4830467,127.0365636
304,210,편의점,GS25논현삼익점,37.512153399999995,127.0219668
305,210,편의점,CU 강남연세장례식장점,37.4927454,127.0463152
306,210,편의점,미니스톱 서초남부점,37.4827063,127.0147389
307,210,편의점,세븐일레븐 서초남부점,37.486045000000004,127.0158608
308,210,편의점,미니스톱 신사만남점,37.517509999999994,127.0215461
309,210,편의점,세븐일레븐 대치나인점,37.5039532,127.05099890000001
310,210,편의점,GS25 논현금옥점,37.5129156,127.02503119999999
311,210,편의점,CU 풍림플러스점,37.490322799999994,127.0297166
312,210,편의점,이마트24 포스코센터점,37.5057406,127.05610700000001
313,210,편의점,CU 논현동화점,37.51060579999999,127.02301729999999
314,210,편의점,CU 신사가로수길점,37.518213,127.023711
315,210,편의점,GS25 논현문화점,37.5154331,127.0410997
316,210,편의점,미니스톱 도곡공원점,37.4895461,127.03338290000002
317,210,편의점,GS25 대치제일점,37.5003207,127.0528265
318,210,편의점,CU 논현SK점,37.5033975,127.04909380000001
319,210,편의점,GS25 신사센터점,37.5181323,127.02118390000001
320,280,보안등,역삼1동833,37.4933487196,127.032033186
321,280,보안등,역삼1동832-25,37.49283351,127.03141329399999
322,280,보안등,역삼1동832-27,37.4926316591,127.031508196
323,280,보안등,역삼1동832-28,37.4924802706,127.03158050200001
324,280,보안등,역삼1동832-29,37.4923433006,127.031643768
325,280,보안등,역삼1동832-31,37.4920297367,127.03169339
326,280,보안등,역삼1동837-33,37.4915755437,127.03200981399999
327,280,보안등,역삼1동837-15,37.4918998658,127.03215921399999
328,280,보안등,역삼1동837-16,37.4919574771,127.032353732
329,280,보안등,역삼1동836,37.4919753184,127.03300054299999
330,280,보안등,역삼1동836-1,37.4916221664,127.032846603
331,280,보안등,역삼1동836-2,37.4916617717,127.032986836
332,280,보안등,역삼1동836-14,37.4914851489,127.03307722
333,280,보안등,역삼1동836-15,37.491441941,127.032932463
334,280,보안등,역삼1동836-25,37.4909084751,127.033180995
335,280,보안등,역삼1동840-1,37.491163732800004,127.03534765
336,280,보안등,역삼1동840-3,37.4912501426,127.035637167
337,280,보안등,역삼1동840-5,37.4913221492,127.035881446
338,280,보안등,역삼1동835-51,37.4916536441,127.036130374
339,280,보안등,역삼1동799,37.4915885846,127.036736435
340,280,보안등,역삼1동835-52,37.4917148543,127.036320373
341,280,보안등,역삼1동793-52,37.4919418398,127.036542115
342,280,보안등,역삼1동835-68,37.4923096847,127.03577788700001
343,280,보안등,역삼1동793-33,37.4921904631,127.036718637
344,280,보안등,역삼1동835-12,37.4917836312,127.03532985
345,280,보안등,역삼1동834-23,37.4928722342,127.034701644
346,280,보안등,역삼1동834-24,37.4929695562,127.03465645799999
347,280,보안등,역삼1동834-68,37.493052322,127.03508619700001
348,280,보안등,역삼1동834-72,37.4933118549,127.03494157600001
349,280,보안등,역삼1동834-73,37.4934560308,127.03489188799999
350,280,보안등,역삼1동834-52,37.493852535100004,127.034684005
351,280,보안등,역삼1동834-75,37.493574985,127.034819572
352,280,보안등,역삼1동834-54,37.493989381300004,127.03504592600001
353,280,보안등,역삼1동793-24,37.4924969299,127.036316229
354,280,보안등,역삼1동793-12,37.4928573077,127.03639782
355,280,보안등,역삼1동 652-16,37.5073706664,127.036549634
356,280,보안등,역삼1동 658-7,37.5069959029,127.036373015
357,280,보안등,역삼1동 652-15,37.5075040598,127.03640493
358,280,보안등,역삼1동 651-15,37.5071870406,127.035965946
359,280,보안등,역삼1동 658-5,37.5070139827,127.036178492
360,280,보안등,역삼1동 651-16,37.5071294312,127.035784958
361,280,보안등,역삼1동 651-2,37.5073997955,127.03557698200001
362,280,보안등,역삼1동 658-1,37.5068807703,127.035730552
363,280,보안등,역삼1동748-18,37.4956684085,127.036530361
364,280,보안등,역삼1동748-29,37.4956178848,127.036747455
365,280,보안등,역삼1동745-19,37.496547596199996,127.037155015
366,280,보안등,역삼1동746-16,37.4967565038,127.037553176
367,280,보안등,역삼1동746-7,37.4970483404,127.03783377399999
368,280,보안등,역삼1동746-9,37.497159956,127.038173086
369,280,보안등,역삼1동746-29,37.4972105389,127.037779575
370,280,보안등,역삼1동745-6,37.4972899627,127.03735441299999
371,280,보안등,역삼1동738-32,37.4978304095,127.037847739
372,280,보안등,역삼1동745-3,37.4975673908,127.03761238700001
373,280,보안등,역삼1동738-4,37.4987533319,127.03692540899999
374,280,보안등,역삼1동738-42,37.497697351199996,127.036929412
375,280,보안등,역삼1동745-8,37.497369375,127.036960915
376,280,보안등,역삼1동744-10,37.4968902194,127.03638168399999
377,280,보안등,역삼1동745-20,37.496652229,127.036784149
378,280,보안등,역삼1동744-9,37.4967496804,127.036322811
379,280,보안등,역삼1동748,37.4962847291,127.036426623
380,280,보안등,역삼1동748-1,37.496241427600005,127.03659849
381,280,보안등,역삼1동748-23,37.4961116321,127.036761267
382,280,보안등,역삼1동748-4,37.496003660999996,127.036277217
383,280,보안등,역삼1동 624-10,37.5041322368,127.031006359
384,280,보안등,역삼1동 624-38,37.5037935731,127.030567409
385,280,보안등,역삼1동 624-45,37.5037825775,127.031268595
386,280,보안등,역삼1동 624-15,37.5038437762,127.03153100200001
387,280,보안등,역삼1동 624-12,37.5043663774,127.03146336399999
388,280,보안등,역삼1동 612-8,37.5045068652,127.031721283
389,280,보안등,역삼1동 612-7,37.5046906301,127.031870649
390,280,보안등,역삼1동 610-7,37.5050689702,127.03217391
391,280,보안등,역삼1동 612-6,37.5047915926,127.03168521299999
392,280,보안등,역삼1동 612-5,37.5049285817,127.031549554
393,280,보안등,역삼1동 613-24,37.5051917988,127.031083703
394,280,보안등,역삼1동 611,37.5054476389,127.031255718
395,280,보안등,역삼1동 605,37.5064025582,127.03180351700001
396,280,보안등,역삼1동 610,37.5055879504,127.032169609
397,280,보안등,역삼1동 611-3,37.5054727635,127.031644785
398,280,보안등,역삼1동 652-13,37.5075039773,127.036671848
399,280,보안등,역삼1동 635-13,37.499879887,127.029453013
400,280,보안등,역삼1동 635-11,37.4999772964,127.02904592899999
401,280,보안등,역삼1동 819-4,37.4995267409,127.02925836200001
402,280,보안등,역삼1동 649-2,37.4997536061,127.03000936299999
403,280,보안등,역삼1동 649-4,37.4998796428,127.030416535
404,280,보안등,역삼1동 635-1,37.5009609621,127.029978181
405,280,보안등,역삼1동 635-12,37.500042070300005,127.02944403
406,280,보안등,역삼1동 635-9,37.5002511285,127.02934459299999
